model,n_points,delta,delta_se,delta_pvalue,alpha_intercept,r2_ols,log_likelihood,aic,bic,pseudo_r2_mcfadden,rmse,accuracy_50,crra_gamma_mle,certainty_equivalent,overall_play_rate,risk_profile
gpt-4.1,10,0.8965784284662084,0.15300545431763718,0.009909905809910802,-1.9665662526256997e-15,0.9196508161685604,-4.157077419058622,10.314154838117243,10.61673993111129,0.19116189003171347,0.2759342063257811,1.0,9.99,2.0,0.21,Extremely Risk Averse
gpt-4o-mini,10,,,,,,-4.177292443726184,10.354584887452368,10.657169980446415,4177292099.304351,0.3796722248268903,0.8,9.99,1.0,0.0,Extremely Risk Averse
gpt-4o,10,0.292481250360578,0.1688641286285981,0.3333333333333333,-0.17293803367585384,0.75,-4.142810063164719,10.285620126329437,10.588205219323484,0.193937874217758,0.29227891341916745,0.9,9.99,4.666666666666666,0.21,Extremely Risk Averse
gpt-5,10,0.47293641281558446,0.1314499206150022,0.015578608303069298,0.48255597949138573,0.7213628926261606,-4.504810962573678,11.009621925147355,11.3122070181414,0.3493419949813036,0.3337408629947185,0.7,9.99,26.666666666666664,0.52,Extremely Risk Averse
o3-mini,10,0.12998242825114886,0.01855796295517623,0.00011217502265393196,0.2111995871777124,0.8597914704986515,-19.34511499024689,40.69022998049378,40.992815073487826,-2.763958345854855,0.429217175781983,0.6,0.9317847456104645,850.0,0.79,Mildly Risk Averse
