Model,CRRA_Coefficient,Discount_Rate,Certainty_Equivalent,Overall_Play_Rate,Risk_Profile,Log_Likelihood
gpt-5,9.99,0.09706888417282804,26.666666666666664,0.52,Extremely Risk Averse,-4.573932723819494
gpt-4o,9.99,0.06462406251802891,4.666666666666666,0.21,Extremely Risk Averse,-4.213809897990815
gpt-4o-mini,9.99,,1.0,0.0,Extremely Risk Averse,-4.248248070096581
gpt-4.1,9.989999999999998,0.06047368752524044,2.0,0.21,Extremely Risk Averse,-4.227952199084729
o3-mini,1.0511535672372805,0.019092524200252647,850.0,0.79,Moderately Risk Averse,-19.343772441797615
